Número;Fecha de la reservación;Mes de reservación;País;Mes de reserva;Días de Anticipación;Fecha de entrada;Fecha de salida;Días;Vuelo;Carro;Lugar
164;2/6/2024;Junio;Israel;Junio;17;19/6/2024;23/6/2024;4;-;Chery;SJO
165;2/4/2024;Abril;Estados Unidos;Junio;80;21/6/2024;29/6/2024;8;-;Vitara;SJO
166;31/5/2024;Mayo;Estados Unidos;Junio;22;22/6/2024;27/6/2024;5;-;Jimny;SJO
167;5/6/2024;Junio;Estados Unidos;Junio;19;24/6/2024;2/7/2024;8;WN710;ASX;SJO
168;19/6/2024;Junio;Israel;Junio;6;25/6/2024;6/8/2024;42;-;ASX;SJO
169;5/1/2024;Enero;Polonia;Junio;172;25/6/2024;9/7/2024;14;LH518;Montero ;SJO
170;28/5/2024;Mayo;Israel;Junio;29;26/6/2024;24/7/2024;28;-;Rav4;SJO
171;13/6/2024;Junio;Estados Unidos;Junio;14;27/6/2024;4/7/2024;7;AV651;Vitara;SJO
172;13/6/2024;Junio;Estados Unidos;Junio;16;29/6/2024;24/7/2024;25;AV627;Terios;SJO
173;3/5/2024;Mayo;Israel;Junio;58;30/6/2024;12/7/2024;12;-;ASX;LIR
174;8/5/2024;Mayo;Israel;Junio;53;30/6/2024;12/7/2024;12;-;Rav4;SJO
175;7/4/2024;Abril;Israel;Julio;86;2/7/2024;17/7/2024;15;-;Prado;SJO
176;4/6/2024;Junio;Argentina;Julio;28;2/7/2024;5/8/2024;34;AV646;Suabru;SJO
177;10/6/2024;Junio;Israel;Julio;22;2/7/2024;14/7/2024;12;-;Chery;SJO
178;11/5/2024;Mayo;NR Israel ;Julio;52;2/7/2024;17/7/2024;15;AF0430;Fortuner;SJO
179;2/4/2024;Abril;Israel;Julio;92;3/7/2024;11/7/2024;8;-;Terios;SJO
180;5/5/2024;Mayo;Uruguay;Julio;59;3/7/2024;9/7/2024;6;-;Vitara;SJO
181;19/5/2024;Mayo;España;Julio;47;5/7/2024;18/7/2024;13;IB6317;Vitara;SJO
182;3/4/2024;Abril;Francia;Julio;94;6/7/2024;5/8/2024;30;-;Vitara;SJO
183;20/5/2024;Mayo;Israel;Julio;51;10/7/2024;28/7/2024;18;-;Jimny;SJO
184;5/5/2024;Mayo;Estados Unidos;Julio;67;11/7/2024;23/7/2024;12;-;Montero ;SJO
185;29/4/2024;Abril;Austria;Julio;74;12/7/2024;13/8/2024;32;-;Vitara;SJO
186;13/12/2023;Diciembre;Países Bajos;Julio;214;14/7/2024;2/8/2024;19;-;Rav4;DORA
187;3/5/2024;Mayo;Israel;Julio;74;16/7/2024;2/8/2024;17;-;Rav4;SJO
188;24/12/2023;Diciembre;Países Bajos;Julio;117;19/4/2024;8/8/2024;111;KL2366;Prado;SJO
189;29/6/2024;Junio;México;Julio;22;21/7/2024;25/7/2024;4;AV651;Chery;SJO
190;29/6/2024;Junio;México;Julio;23;22/7/2024;27/7/2024;5;AM0624;Grand Vitara;SJO
191;15/6/2024;Junio;Israel;Julio;38;23/7/2024;11/8/2024;19;-;Rav4;SJO
192;23/2/2024;Febrero;Reino Unido;Julio;153;25/7/2024;14/8/2024;20;AA1017;Rav4;SJO
